date/time,script,user,action,table,field,"key value","old value","new value"
"2023-11-19 10:54:31",/jootidigitalhealthcare/login,1,login,::1,,,,
"2023-11-19 10:59:19",/jootidigitalhealthcare/logout,1,logout,::1,,,,
"2023-11-19 10:59:37",/jootidigitalhealthcare/login,2,login,::1,,,,
"2023-11-19 11:09:52",/jootidigitalhealthcare/logout,2,logout,::1,,,,
"2023-11-19 11:10:01",/jootidigitalhealthcare/login,1,login,::1,,,,
"2023-11-19 11:10:46",/jootidigitalhealthcare/logout,1,logout,::1,,,,
"2023-11-19 11:10:57",/jootidigitalhealthcare/login,2,login,::1,,,,
"2023-11-19 11:28:14",/jootidigitalhealthcare/logout,2,logout,::1,,,,
"2023-11-19 11:29:41",/jootidigitalhealthcare/login,2,login,::1,,,,
"2023-11-19 11:33:27",/jootidigitalhealthcare/logout,2,logout,::1,,,,
"2023-11-19 11:36:15",/jootidigitalhealthcare/login,2,login,::1,,,,
"2023-11-19 11:39:26",/jootidigitalhealthcare/logout,2,logout,::1,,,,
"2023-11-19 11:39:32",/jootidigitalhealthcare/login,4,login,::1,,,,
